iter	Passed	Remaining
0	107	106893
1	111	55811
2	116	38659
3	119	29679
4	122	24367
5	124	20692
6	127	18038
7	130	16122
8	132	14604
9	134	13322
10	136	12293
11	138	11412
12	140	10658
13	141	9982
14	143	9398
15	144	8909
16	146	8459
17	147	8050
18	149	7694
19	150	7364
20	151	7067
21	152	6794
22	154	6546
23	155	6318
24	156	6109
25	157	5917
26	159	5738
27	160	5569
28	161	5415
29	162	5264
30	164	5128
31	165	4999
32	166	4875
33	167	4755
34	169	4663
35	170	4566
36	172	4482
37	173	4391
38	174	4302
39	175	4222
40	177	4145
41	178	4074
42	180	4006
43	181	3940
44	182	3874
45	183	3814
46	185	3754
47	186	3696
48	187	3641
49	188	3588
50	190	3538
51	191	3489
52	192	3446
53	194	3401
54	195	3359
55	196	3317
56	198	3276
57	199	3235
58	200	3197
59	201	3161
60	202	3124
61	204	3089
62	205	3055
63	206	3021
64	207	2990
65	209	2960
66	210	2930
67	211	2901
68	212	2872
69	214	2850
70	216	2833
71	217	2807
72	219	2781
73	220	2757
74	221	2732
75	222	2708
76	224	2685
77	225	2662
78	226	2640
79	227	2617
80	228	2597
81	230	2578
82	230	2552
83	232	2532
84	233	2513
85	234	2495
86	236	2480
87	237	2461
88	238	2444
89	239	2426
90	241	2408
91	242	2391
92	243	2378
93	245	2363
94	246	2347
95	247	2331
96	248	2314
97	249	2300
98	251	2287
99	252	2273
100	253	2259
101	255	2246
102	256	2233
103	257	2220
104	259	2207
105	260	2194
106	261	2182
107	262	2171
108	264	2159
109	265	2147
110	266	2136
111	267	2123
112	269	2112
113	270	2101
114	271	2092
115	273	2080
116	274	2068
117	275	2057
118	276	2046
119	277	2036
120	279	2029
121	280	2018
122	281	2008
123	282	1997
124	283	1987
125	285	1979
126	286	1968
127	287	1959
128	288	1949
129	289	1939
130	291	1930
131	292	1922
132	293	1913
133	294	1904
134	296	1897
135	297	1889
136	298	1881
137	299	1873
138	301	1864
139	302	1856
140	303	1849
141	304	1839
142	305	1831
143	306	1823
144	307	1816
145	309	1808
146	310	1800
147	311	1792
148	312	1785
149	313	1778
150	315	1771
151	316	1765
152	317	1758
153	318	1751
154	319	1744
155	321	1738
156	323	1734
157	324	1729
158	326	1724
159	327	1718
160	328	1710
161	329	1704
162	330	1698
163	332	1692
164	333	1686
165	334	1680
166	335	1674
167	337	1669
168	338	1663
169	339	1659
170	341	1655
171	342	1649
172	343	1644
173	345	1637
174	346	1632
175	347	1626
176	348	1621
177	349	1615
178	351	1611
179	352	1605
180	353	1601
181	355	1596
182	356	1590
183	357	1585
184	358	1581
185	360	1576
186	361	1571
187	362	1566
188	363	1561
189	365	1556
190	366	1552
191	367	1548
192	369	1544
193	370	1539
194	371	1534
195	373	1530
196	374	1525
197	375	1520
198	376	1516
199	378	1512
200	379	1507
201	380	1503
202	382	1500
203	383	1495
204	384	1491
205	385	1486
206	387	1482
207	388	1478
208	389	1472
209	390	1467
210	391	1463
211	392	1458
212	393	1454
213	394	1450
214	396	1446
215	397	1442
216	398	1438
217	399	1434
218	401	1430
219	402	1427
220	403	1423
221	404	1419
222	406	1415
223	407	1411
224	408	1406
225	409	1403
226	410	1399
227	412	1395
228	413	1391
229	414	1387
230	415	1383
231	416	1378
232	417	1374
233	418	1370
234	419	1366
235	421	1363
236	422	1360
237	423	1356
238	424	1352
239	426	1349
240	427	1345
241	428	1342
242	429	1338
243	430	1335
244	432	1331
245	433	1328
246	434	1324
247	435	1320
248	436	1317
249	438	1314
250	439	1310
251	440	1307
252	441	1303
253	442	1300
254	444	1298
255	445	1295
256	446	1291
257	447	1288
258	449	1284
259	450	1281
260	451	1278
261	452	1275
262	454	1272
263	455	1269
264	456	1266
265	457	1263
266	459	1260
267	460	1257
268	461	1254
269	462	1251
270	464	1248
271	465	1245
272	466	1243
273	468	1240
274	469	1237
275	470	1234
276	471	1231
277	473	1228
278	474	1225
279	475	1222
280	476	1220
281	478	1217
282	479	1214
283	480	1211
284	481	1208
285	483	1205
286	484	1203
287	485	1200
288	486	1197
289	488	1194
290	489	1192
291	490	1189
292	492	1187
293	493	1184
294	494	1182
295	495	1179
296	497	1176
297	498	1173
298	499	1171
299	500	1168
300	502	1166
301	503	1163
302	504	1160
303	505	1157
304	506	1155
305	508	1152
306	509	1150
307	510	1147
308	512	1145
309	513	1142
310	514	1140
311	515	1137
312	516	1134
313	518	1132
314	519	1129
315	520	1127
316	522	1124
317	523	1122
318	524	1119
319	525	1116
320	526	1114
321	528	1111
322	529	1109
323	530	1106
324	531	1104
325	533	1102
326	534	1099
327	535	1097
328	536	1094
329	538	1092
330	539	1090
331	540	1088
332	541	1085
333	543	1082
334	544	1080
335	545	1078
336	546	1075
337	547	1073
338	549	1070
339	550	1068
340	552	1067
341	553	1064
342	554	1062
343	555	1059
344	556	1057
345	558	1055
346	559	1052
347	560	1050
348	561	1048
349	562	1045
350	564	1043
351	565	1040
352	566	1038
353	567	1035
354	568	1033
355	570	1031
356	571	1028
357	572	1026
358	573	1024
359	575	1022
360	576	1020
361	577	1017
362	578	1015
363	579	1013
364	581	1011
365	582	1008
366	583	1006
367	584	1004
368	586	1002
369	587	999
370	588	997
371	589	995
372	590	993
373	592	991
374	593	988
375	594	986
376	595	984
377	597	982
378	598	980
379	599	978
380	601	976
381	602	974
382	603	972
383	604	970
384	606	968
385	607	965
386	608	963
387	609	961
388	611	959
389	612	957
390	613	955
391	614	953
392	616	951
393	617	949
394	618	947
395	619	945
396	620	943
397	622	940
398	623	938
399	624	936
400	625	934
401	626	932
402	628	930
403	629	928
404	630	926
405	631	923
406	632	921
407	633	919
408	635	917
409	636	915
410	637	913
411	638	911
412	639	909
413	641	907
414	642	905
415	643	903
416	644	901
417	645	899
418	647	897
419	648	895
420	649	893
421	651	891
422	652	889
423	653	887
424	654	885
425	656	884
426	657	881
427	658	879
428	659	878
429	661	876
430	662	874
431	663	872
432	664	870
433	666	868
434	667	866
435	668	864
436	670	863
437	671	861
438	672	859
439	673	857
440	675	855
441	676	853
442	677	851
443	678	850
444	680	848
445	681	846
446	682	844
447	683	842
448	684	840
449	686	838
450	687	836
451	688	835
452	690	833
453	691	831
454	693	830
455	694	828
456	695	826
457	696	824
458	698	822
459	699	820
460	700	819
461	701	817
462	703	815
463	704	813
464	705	811
465	706	810
466	708	808
467	709	806
468	711	805
469	712	803
470	713	801
471	715	799
472	716	798
473	717	796
474	718	794
475	719	792
476	721	790
477	722	789
478	723	787
479	725	785
480	726	783
481	727	782
482	728	780
483	730	778
484	731	776
485	732	775
486	734	773
487	735	771
488	736	769
489	737	767
490	739	766
491	740	764
492	741	762
493	742	760
494	744	759
495	745	757
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	752	743
503	754	742
504	755	740
505	756	738
506	757	737
507	759	735
508	760	733
509	761	731
510	762	730
511	764	728
512	765	726
513	766	724
514	767	723
515	769	721
516	770	719
517	771	718
518	773	716
519	774	714
520	775	712
521	777	711
522	778	709
523	779	708
524	780	706
525	782	704
526	783	703
527	784	701
528	785	699
529	787	697
530	788	696
531	789	694
532	790	692
533	792	691
534	793	689
535	794	687
536	795	686
537	797	684
538	798	682
539	799	681
540	800	679
541	802	677
542	803	676
543	804	674
544	806	672
545	807	671
546	808	669
547	809	667
548	810	666
549	812	664
550	813	662
551	814	661
552	815	659
553	817	657
554	818	656
555	820	655
556	821	653
557	823	652
558	824	650
559	825	648
560	826	646
561	828	645
562	829	643
563	830	642
564	831	640
565	832	638
566	834	636
567	835	635
568	836	633
569	837	632
570	839	630
571	840	628
572	841	627
573	842	625
574	844	623
575	845	622
576	847	621
577	848	619
578	849	617
579	851	616
580	852	614
581	853	613
582	854	611
583	856	609
584	857	608
585	858	606
586	859	604
587	860	603
588	862	601
589	863	599
590	864	598
591	865	596
592	867	595
593	868	593
594	870	592
595	871	590
596	872	589
597	873	587
598	875	585
599	876	584
600	877	582
601	879	581
602	880	579
603	881	577
604	882	576
605	883	574
606	885	573
607	886	571
608	887	569
609	888	568
610	890	566
611	891	565
612	892	563
613	893	561
614	895	560
615	896	558
616	897	557
617	899	555
618	900	554
619	901	552
620	902	550
621	904	549
622	905	547
623	906	546
624	908	544
625	909	543
626	910	541
627	911	540
628	912	538
629	914	536
630	915	535
631	916	533
632	918	532
633	919	530
634	920	529
635	921	527
636	923	526
637	924	524
638	925	522
639	926	521
640	927	519
641	929	518
642	930	516
643	932	515
644	933	513
645	934	512
646	935	510
647	937	509
648	938	507
649	939	506
650	941	504
651	942	503
652	943	501
653	945	500
654	946	498
655	947	497
656	949	495
657	950	493
658	951	492
659	958	493
660	970	497
661	975	498
662	980	498
663	985	498
664	990	498
665	994	498
666	997	497
667	1000	497
668	1002	496
669	1004	494
670	1007	493
671	1009	492
672	1010	491
673	1012	489
674	1014	488
675	1016	487
676	1017	485
677	1019	483
678	1020	482
679	1022	481
680	1023	479
681	1024	477
682	1026	476
683	1027	474
684	1028	473
685	1029	471
686	1030	469
687	1032	468
688	1033	466
689	1034	464
690	1035	463
691	1037	461
692	1038	459
693	1039	458
694	1041	456
695	1042	455
696	1043	453
697	1044	452
698	1046	450
699	1047	448
700	1048	447
701	1049	445
702	1050	443
703	1052	442
704	1053	440
705	1054	439
706	1056	437
707	1057	436
708	1058	434
709	1060	432
710	1061	431
711	1062	429
712	1063	428
713	1065	426
714	1066	425
715	1067	423
716	1069	421
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1075	413
722	1076	412
723	1077	410
724	1079	409
725	1080	407
726	1081	406
727	1083	404
728	1084	403
729	1085	401
730	1086	399
731	1088	398
732	1089	396
733	1090	395
734	1091	393
735	1093	392
736	1095	390
737	1096	389
738	1097	387
739	1098	386
740	1099	384
741	1101	382
742	1102	381
743	1103	379
744	1104	378
745	1106	376
746	1107	375
747	1108	373
748	1110	372
749	1111	370
750	1112	368
751	1114	367
752	1115	365
753	1116	364
754	1117	362
755	1119	361
756	1120	359
757	1121	358
758	1122	356
759	1124	354
760	1125	353
761	1126	351
762	1127	350
763	1129	348
764	1130	347
765	1131	345
766	1133	344
767	1134	342
768	1135	341
769	1136	339
770	1138	338
771	1139	336
772	1140	334
773	1142	333
774	1143	332
775	1144	330
776	1146	328
777	1147	327
778	1148	325
779	1150	324
780	1151	322
781	1152	321
782	1153	319
783	1154	318
784	1156	316
785	1157	315
786	1158	313
787	1159	311
788	1160	310
789	1162	308
790	1163	307
791	1164	305
792	1165	304
793	1167	302
794	1168	301
795	1169	299
796	1170	298
797	1172	296
798	1173	295
799	1174	293
800	1176	292
801	1177	290
802	1178	289
803	1179	287
804	1180	286
805	1182	284
806	1183	283
807	1184	281
808	1185	279
809	1187	278
810	1188	276
811	1189	275
812	1190	273
813	1192	272
814	1193	270
815	1194	269
816	1195	267
817	1197	266
818	1198	264
819	1199	263
820	1201	261
821	1202	260
822	1203	258
823	1204	257
824	1206	255
825	1207	254
826	1208	252
827	1209	251
828	1211	249
829	1212	248
830	1213	246
831	1214	245
832	1216	243
833	1217	242
834	1218	240
835	1219	239
836	1221	237
837	1222	236
838	1223	234
839	1224	233
840	1230	232
841	1235	231
842	1239	230
843	1244	230
844	1249	229
845	1253	228
846	1258	227
847	1263	226
848	1267	225
849	1272	224
850	1277	223
851	1282	222
852	1287	221
853	1291	220
854	1296	219
855	1299	218
856	1302	217
857	1308	216
858	1310	215
859	1312	213
860	1315	212
861	1316	210
862	1318	209
863	1320	207
864	1321	206
865	1322	204
866	1324	203
867	1326	201
868	1328	200
869	1329	198
870	1331	197
871	1332	195
872	1333	193
873	1334	192
874	1335	190
875	1336	189
876	1338	187
877	1339	186
878	1340	184
879	1342	183
880	1343	181
881	1344	179
882	1345	178
883	1347	176
884	1348	175
885	1350	173
886	1351	172
887	1352	170
888	1353	169
889	1355	167
890	1356	165
891	1357	164
892	1358	162
893	1360	161
894	1363	159
895	1364	158
896	1366	156
897	1367	155
898	1368	153
899	1369	152
900	1370	150
901	1372	149
902	1373	147
903	1374	145
904	1375	144
905	1377	142
906	1378	141
907	1379	139
908	1380	138
909	1381	136
910	1383	135
911	1385	133
912	1386	132
913	1387	130
914	1388	129
915	1390	127
916	1391	125
917	1392	124
918	1394	122
919	1395	121
920	1396	119
921	1398	118
922	1399	116
923	1400	115
924	1401	113
925	1402	112
926	1404	110
927	1405	109
928	1406	107
929	1408	105
930	1409	104
931	1410	102
932	1411	101
933	1412	99
934	1414	98
935	1415	96
936	1416	95
937	1417	93
938	1419	92
939	1420	90
940	1421	89
941	1423	87
942	1424	86
943	1425	84
944	1426	83
945	1428	81
946	1429	80
947	1430	78
948	1432	76
949	1433	75
950	1434	73
951	1435	72
952	1437	70
953	1438	69
